episode,coverage_pct,detection_rate,total_collisions,steps_to_first_target,steps_to_90pct_coverage,time_to_detect_all,episode_length,total_path_length
1,23.2,0.467,63644,23,-1,-1,1000,40615.23
2,17.58,0.467,66782,5,-1,-1,1000,33632.11
3,25.6,0.4,56123,2,-1,-1,1000,40900.33
4,20.56,0.133,69084,17,-1,-1,1000,34874.62
5,22.97,0.333,57988,264,-1,-1,1000,43006.46
6,26.26,0.467,48623,6,-1,-1,1000,47017.35
7,31.2,0.533,55547,32,-1,-1,1000,43825.08
8,20.03,0.4,51102,1,-1,-1,1000,41130.36
9,21.46,0.4,65800,30,-1,-1,1000,35485.7
10,13.64,0.467,77516,1,-1,-1,1000,26462.52
11,26.39,0.333,51158,2,-1,-1,1000,42167.49
12,24.66,0.4,59870,29,-1,-1,1000,38017.75
13,22.24,0.4,51824,1,-1,-1,1000,48566.0
14,26.71,0.333,56085,28,-1,-1,1000,43753.31
15,19.67,0.333,69609,2,-1,-1,1000,31838.13
16,26.75,0.467,52778,1,-1,-1,1000,49567.87
17,26.46,0.467,51989,77,-1,-1,1000,43939.68
18,24.46,0.333,50861,1,-1,-1,1000,43835.76
19,22.4,0.4,59058,11,-1,-1,1000,39324.15
20,14.99,0.2,57277,7,-1,-1,1000,42461.91
21,20.66,0.133,59251,78,-1,-1,1000,37074.8
22,33.76,0.467,52013,8,-1,-1,1000,45462.17
23,21.83,0.267,63340,5,-1,-1,1000,38380.13
24,18.72,0.133,52136,30,-1,-1,1000,42194.62
25,14.7,0.467,60461,12,-1,-1,1000,36028.8
26,27.07,0.6,53724,13,-1,-1,1000,48220.23
27,29.65,0.733,56217,7,-1,-1,1000,48486.55
28,29.56,0.533,52596,1,-1,-1,1000,48733.22
29,21.8,0.333,61861,2,-1,-1,1000,36146.59
30,25.99,0.2,67925,10,-1,-1,1000,36335.25
