episode,coverage_pct,detection_rate,total_collisions,steps_to_first_target,steps_to_90pct_coverage
1,35.35,0.6,1921,204,-1
2,38.61,0.4,1914,7,-1
3,28.8,1.0,1079,105,-1
4,35.41,0.4,2971,152,-1
5,36.07,0.6,3037,139,-1
6,39.0,0.8,949,72,-1
7,39.46,0.4,1067,15,-1
8,37.53,0.8,1982,41,-1
9,37.58,1.0,1536,49,-1
10,41.24,0.6,520,1,-1
11,15.26,1.0,270,8,-1
12,36.57,0.2,1552,279,-1
13,38.47,0.4,1608,146,-1
14,40.55,0.6,1360,8,-1
15,33.86,1.0,457,86,-1
16,42.91,0.4,465,134,-1
17,37.54,0.8,2529,1,-1
18,40.48,0.4,1038,168,-1
19,39.22,0.6,1009,3,-1
20,41.44,0.8,1016,55,-1
